Id;Host;AppName;EventName;EventLevelId;StatusId;StartTime;EndTime;Message;ParentEventId;EventCount
15288;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:12.9666667;2021-08-02 16:38:13.2100000;Completed Refresh.PropertyType.Chart;15281;0
15289;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:13.2133333;2021-08-02 16:38:13.3700000;Completed Refresh.Located.Chart;15281;0
15290;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:13.3700000;2021-08-02 16:38:13.7000000;Completed Refresh.Notifications.Transfers;15281;0
15291;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:13.7033333;2021-08-02 16:38:13.9000000;Completed Refresh.Notifications.Subdivisions;15281;0
15292;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:13.9033333;2021-08-02 16:38:14.0500000;Completed Refresh.Notifications.Consolidations;15281;0
15293;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:14.0633333;2021-08-02 16:38:20.6466667;Completed AreaOfInterest.Process.CurrentArea Area of Interest 534;15040;11
15294;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:14.0733333;2021-08-02 16:38:14.3033333;Completed Delete.Moved.Properties;15293;0
15295;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:14.3066667;2021-08-02 16:38:14.5333333;Completed Update.AOI.Ward;15293;0
15296;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:14.5400000;2021-08-02 16:38:15.1700000;Completed Update.AOI.Suburb;15293;0
15297;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:15.1766667;2021-08-02 16:38:16.7066667;Completed Update.AOI.LocalMunicipality;15293;0
15298;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:16.7100000;2021-08-02 16:38:19.1233333;Completed Update.AOI.Property;15293;0
15299;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:19.1300000;2021-08-02 16:38:19.5100000;Completed Refresh.Township.Chart;15293;0
15300;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:19.5166667;2021-08-02 16:38:19.7900000;Completed Refresh.PropertyType.Chart;15293;0
15301;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:19.7933333;2021-08-02 16:38:19.9733333;Completed Refresh.Located.Chart;15293;0
15302;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:19.9766667;2021-08-02 16:38:20.2900000;Completed Refresh.Notifications.Transfers;15293;0
15303;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:20.2966667;2021-08-02 16:38:20.4900000;Completed Refresh.Notifications.Subdivisions;15293;0
15304;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:20.4933333;2021-08-02 16:38:20.6400000;Completed Refresh.Notifications.Consolidations;15293;0
15305;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:20.6533333;2021-08-02 16:38:23.3633333;Completed AreaOfInterest.Process.CurrentArea Area of Interest 535;15040;11
15306;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:20.6600000;2021-08-02 16:38:20.7300000;Completed Delete.Moved.Properties;15305;0
15307;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:20.7333333;2021-08-02 16:38:20.9400000;Completed Update.AOI.Ward;15305;0
15308;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:20.9466667;2021-08-02 16:38:21.0200000;Completed Update.AOI.Suburb;15305;0
15309;HostCPTDEV01;App.SQL Processing;Update.AOI.LocalMunicipality;2;2;2021-08-02 16:38:21.0266667;2021-08-02 16:38:21.1966667;Completed Update.AOI.LocalMunicipality;15305;0
15310;HostCPTDEV01;App.SQL Processing;Update.AOI.Property;2;2;2021-08-02 16:38:21.2033333;2021-08-02 16:38:22.5500000;Completed Update.AOI.Property;15305;0
15311;HostCPTDEV01;App.SQL Processing;Refresh.Township.Chart;2;2;2021-08-02 16:38:22.5533333;2021-08-02 16:38:22.8166667;Completed Refresh.Township.Chart;15305;0
15312;HostCPTDEV01;App.SQL Processing;Refresh.PropertyType.Chart;2;2;2021-08-02 16:38:22.8233333;2021-08-02 16:38:23.0466667;Completed Refresh.PropertyType.Chart;15305;0
15313;HostCPTDEV01;App.SQL Processing;Refresh.Located.Chart;2;2;2021-08-02 16:38:23.0500000;2021-08-02 16:38:23.0900000;Completed Refresh.Located.Chart;15305;0
15314;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Transfers;2;2;2021-08-02 16:38:23.0933333;2021-08-02 16:38:23.2966667;Completed Refresh.Notifications.Transfers;15305;0
15315;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Subdivisions;2;2;2021-08-02 16:38:23.3033333;2021-08-02 16:38:23.3300000;Completed Refresh.Notifications.Subdivisions;15305;0
15316;HostCPTDEV01;App.SQL Processing;Refresh.Notifications.Consolidations;2;2;2021-08-02 16:38:23.3300000;2021-08-02 16:38:23.3566667;Completed Refresh.Notifications.Consolidations;15305;0
15317;HostCPTDEV01;App.SQL Processing;AreaOfInterest.Process.CurrentArea;2;2;2021-08-02 16:38:23.3700000;2021-08-02 16:38:26.0033333;Completed AreaOfInterest.Process.CurrentArea Area of Interest 538;15040;11
15318;HostCPTDEV01;App.SQL Processing;Delete.Moved.Properties;2;2;2021-08-02 16:38:23.3733333;2021-08-02 16:38:23.4400000;Completed Delete.Moved.Properties;15317;0
15319;HostCPTDEV01;App.SQL Processing;Update.AOI.Ward;2;2;2021-08-02 16:38:23.4466667;2021-08-02 16:38:23.6600000;Completed Update.AOI.Ward;15317;0
15320;HostCPTDEV01;App.SQL Processing;Update.AOI.Suburb;2;2;2021-08-02 16:38:23.6633333;2021-08-02 16:38:23.7200000;Completed Update.AOI.Suburb;15317;0
